,m_cap,mkt_%,v_24h,price,last
BTC,770903800041.2284,40.8994,21324121262.12544,40546.342575996976,2022-04-16 02:16:00+00:00
ETH,365980651962.27136,19.4162,11190985741.7012,3039.8117352154577,2022-04-16 02:15:00+00:00
USDT,82732345136.56244,4.3886,42578866180.53892,1.0001690517866122,2022-04-16 02:15:00+00:00
BNB,69011712086.47948,3.6612,1212361363.5687046,417.95703667209625,2022-04-16 02:15:00+00:00
XRP,38026891456.52604,2.0175,3010397988.4576163,0.7900015752528465,2022-04-16 02:16:00+00:00
ADA,32327167526.140377,1.7151,578502691.368755,0.9577694786377773,2022-04-16 02:15:00+00:00
HEX,23240065739.191845,0.0,23613040.86772024,0.13401719479480323,2022-04-16 02:15:00+00:00
AVAX,20689623478.92375,1.0974,479243473.1747351,77.12114081134798,2022-04-16 02:15:00+00:00
DOGE,19544735987.991947,1.0369,1105198962.2482848,0.14731758041140303,2022-04-16 02:16:00+00:00
DOT,18272382496.743298,0.9694,502889204.2413383,18.50219240116154,2022-04-16 02:15:00+00:00
BUSD,17463561163.95976,0.9265,2513239937.580197,1.000612385154405,2022-04-16 02:15:00+00:00
SHIB,14261984527.569769,0.7566,445285944.3971444,2.597511994748212e-05,2022-04-16 02:15:00+00:00
WBTC,11269777599.566586,0.5977,126579602.99961159,40515.953242562166,2022-04-16 02:15:00+00:00
MATIC,10884366788.944351,0.5775,391097278.81589776,1.3939140459600907,2022-04-16 02:15:00+00:00
NEAR,10821294712.306173,0.5741,747700359.0376785,16.061848887665953,2022-04-16 02:15:00+00:00
CRO,10316948750.531803,0.5474,47701216.14471814,0.408381552427328,2022-04-16 02:15:00+00:00
DAI,9114412611.053507,0.4835,209091955.4932655,0.9995087640673704,2022-04-16 02:15:00+00:00
LTC,7842865894.092996,0.4161,801335671.47438,111.91604499184561,2022-04-16 02:16:00+00:00
ATOM,6942346603.856221,0.3683,337510312.9514117,24.24255125822711,2022-04-16 02:15:00+00:00
LINK,6604180995.341777,0.3503,365203242.9391112,14.141426020349455,2022-04-16 02:15:00+00:00
BCH,6509995232.49032,0.3454,4262918993.2046933,341.9524848527516,2022-04-16 02:15:00+00:00
TRX,6295905619.991195,0.334,1032831982.1332327,0.06193480205371298,2022-04-16 02:15:00+00:00
WTRX,6286756599.862069,0.0,960052.32461455,0.061831223722779056,2022-04-16 02:15:00+00:00
STETH,6115132124.67969,0.0,155102.59758883,3036.060735238165,2022-04-16 02:15:00+00:00
FTT,5869883623.711766,0.3113,160960254.2119335,42.82316411355798,2022-04-16 02:15:00+00:00
ETC,5122013991.142205,0.2717,524638661.92821264,38.15701827558058,2022-04-16 02:15:00+00:00
XLM,5094152170.204992,0.2703,489898771.9902708,0.20560427340592816,2022-04-16 02:15:00+00:00
ALGO,4985396266.276112,0.2644,171406235.67053023,0.7430021789246696,2022-04-16 02:15:00+00:00
XMR,4264601192.350856,0.2262,177563019.17875564,235.50894260613865,2022-04-16 02:15:00+00:00
BTCB,4258750509.9905295,0.0,13168942.72492446,40517.29655189066,2022-04-16 02:15:00+00:00
VET,4004195808.3154736,0.2124,184764849.7854583,0.06225856931984483,2022-04-16 02:15:00+00:00
MANA,4001240903.3729877,0.2123,203365675.5285825,2.1716493845487856,2022-04-16 02:15:00+00:00
HBAR,3909199107.9749603,0.2074,42619034.50636045,0.19980208527881393,2022-04-16 02:15:00+00:00
ICP,3780621059.0456963,0.2006,123871905.77350967,16.886477175820385,2022-04-16 02:15:00+00:00
FIL,3705464838.8657823,0.1966,187607777.72295776,19.142144413849692,2022-04-16 02:15:00+00:00
EGLD,3388788472.301715,0.1798,79141132.31879744,155.46263010067761,2022-04-16 02:15:00+00:00
APE,3368600845.529972,0.1787,302329029.7426506,12.139102146053954,2022-04-16 02:15:00+00:00
SAND,3277970678.2529345,0.1739,190295645.78362754,2.8296474162442706,2022-04-16 02:16:00+00:00
THETA,3061367032.1760063,0.1624,112326984.67049615,3.0613670321760065,2022-04-16 02:15:00+00:00
FTM,2996551694.110205,0.159,281678609.093048,1.177424089638071,2022-04-16 02:15:00+00:00
AXS,2932636051.4655213,0.1555,262993266.5274162,48.14901369232888,2022-04-16 02:15:00+00:00
XTZ,2864750846.674743,0.152,67189069.02996215,3.2144945712562527,2022-04-16 02:15:00+00:00
KLAY,2785584957.5444245,0.1477,67443003.7470219,1.000979533599051,2022-04-16 02:15:00+00:00
FRAX,2694731603.881454,0.0,13833340.11189169,0.9991235038311005,2022-04-16 02:15:00+00:00
EOS,2420936696.755267,0.1284,466193781.60760194,2.452824870731079,2022-04-16 02:15:00+00:00
AAVE,2393987565.4081364,0.127,185521307.61918178,174.98585582841457,2022-04-16 02:15:00+00:00
WAVES,2381538724.233763,0.1263,657715081.3936737,22.048258156063497,2022-04-16 02:15:00+00:00
HNT,2380048259.9674587,0.1263,11808157.86801258,20.588958797288004,2022-04-16 02:15:00+00:00
WBNB,2366281425.1356134,0.0,312418003.8119332,416.9597483812196,2022-04-16 02:15:00+00:00
CAKE,2319297340.4031477,0.123,119540304.18434279,8.158688471883256,2022-04-16 02:15:00+00:00
FLOW,2135345945.8353233,0.1133,61440551.47729488,5.9273440775997175,2022-04-16 02:15:00+00:00
ZEC,2079791141.1997151,0.1103,157242881.65129107,146.69680068874823,2022-04-16 02:15:00+00:00
MIOTA,1880985605.8579693,0.0998,29942628.47304058,0.6767278692239271,2022-04-16 02:15:00+00:00
MKR,1879068184.4912412,0.0997,64504091.8168918,1922.062734783689,2022-04-16 02:15:00+00:00
BTT,1841273135.9761524,0.0977,205601161.6401747,1.987296871067515e-06,2022-04-16 02:15:00+00:00
XEC,1779775601.1497164,0.0944,20719651.82089041,9.350532856177264e-05,2022-04-16 02:15:00+00:00
BTTOLD,1759151564.429091,0.0,11978.47286869,0.001776920772150597,2022-04-16 02:15:00+00:00
GRT,1744335198.7970276,0.0925,75749709.77445102,0.3698967657889331,2022-04-16 02:15:00+00:00
OSMO,1667796751.3309286,0.0,34286133.71456631,5.90445002757473,2022-04-16 02:15:00+00:00
CVX,1651630650.123591,0.0876,8819159.99622056,28.59017119510483,2022-04-16 02:15:00+00:00
BSV,1632242011.869228,0.0866,84811360.77457714,85.75643401010984,2022-04-16 02:15:00+00:00
HBTC,1617829950.3862944,0.0,356809.3387616,40563.29896426761,2022-04-16 02:15:00+00:00
KCS,1597332883.9239976,0.0847,9981929.12404048,19.937094835835797,2022-04-16 02:16:00+00:00
NEO,1518124218.7214122,0.0805,110361421.40718201,21.521822763428162,2022-04-16 02:15:00+00:00
HT,1466001446.22595,0.0778,43780775.03073154,9.453454019608088,2022-04-16 02:15:00+00:00
KSM,1450719225.0390952,0.077,102757801.38967524,171.27537547163143,2022-04-16 02:15:00+00:00
CHZ,1433530482.889514,0.076,131475909.0480659,0.23890665787264245,2022-04-16 02:15:00+00:00
GALA,1410195695.0808635,0.0748,216715471.52184477,0.20211468732233892,2022-04-16 02:15:00+00:00
ZIL,1405601990.7560036,0.0746,422067270.4929651,0.11105689104429202,2022-04-16 02:15:00+00:00
CELO,1399608799.6497264,0.0743,73207712.20706701,3.2307630596092385,2022-04-16 02:15:00+00:00
TUSD,1367962258.7871356,0.0726,90488067.31651804,1.0000464820264883,2022-04-16 02:15:00+00:00
QNT,1358275531.3408852,0.0721,76906025.17426483,112.50766241600581,2022-04-16 02:15:00+00:00
NEXO,1354625193.4492402,0.0718,14093655.10154611,2.418973512215235,2022-04-16 02:15:00+00:00
ENJ,1343150977.435888,0.0713,120334599.550394,1.529395037871208,2022-04-16 02:15:00+00:00
OKB,1224004054.5914652,0.0649,44828919.90389206,20.40006757652442,2022-04-16 02:15:00+00:00
LRC,1186792327.160655,0.063,70262092.70796481,0.8925428826703516,2022-04-16 02:15:00+00:00
DASH,1173654872.845828,0.0623,200569283.0639299,109.92430584625485,2022-04-16 02:15:00+00:00
BAT,1118302644.0363467,0.0593,57491160.79988495,0.7459305710689572,2022-04-16 02:15:00+00:00
MINA,1077522529.738199,0.0572,41518699.42802222,2.3364163462988614,2022-04-16 02:15:00+00:00
CRV,1058961355.8548442,0.0562,92015664.97111093,2.236127892599012,2022-04-16 02:15:00+00:00
AR,1015116578.3895775,0.0538,18556971.18139148,30.39753457860208,2022-04-16 02:15:00+00:00
USDN,981721464.8353374,0.0521,12629073.1852426,0.9887149386304075,2022-04-16 02:15:00+00:00
COMP,965312218.8590319,0.0512,108123885.19093512,143.8757280021714,2022-04-16 02:15:00+00:00
AMP,961383700.2845229,0.051,8237195.76446603,0.02276665910093626,2022-04-16 02:15:00+00:00
KDA,954434534.7098281,0.0506,31565103.84515952,5.572116886990803,2022-04-16 02:15:00+00:00
USDP,946590426.564814,0.0502,4761641.40531467,1.0010019494828606,2022-04-16 02:15:00+00:00
GLMR,913071498.1284518,0.0484,114921357.22428036,4.015603289886025,2022-04-16 02:15:00+00:00
XEM,912236395.358064,0.0484,13668887.98631443,0.10135959949549152,2022-04-16 02:15:00+00:00
TFUEL,886749255.6351221,0.047,19754883.49542307,0.1672728527325969,2022-04-16 02:15:00+00:00
LN,823384515.2330372,0.0,939000.34883146,137.78651444485286,2022-04-16 02:15:00+00:00
ROSE,811474515.3660592,0.0431,31664632.76468914,0.232313539027633,2022-04-16 02:15:00+00:00
SCRT,807334411.075412,0.0428,10259716.36361158,4.944007209427088,2022-04-16 02:15:00+00:00
AUDIO,792086030.9083499,0.042,91208565.78391641,1.2759008303165715,2022-04-16 02:15:00+00:00
DCR,786843110.3133863,0.0417,3388682.05820769,56.4526888467432,2022-04-16 02:15:00+00:00
KNC,784080880.0432941,0.0416,355539759.90770924,4.409671831741537,2022-04-16 02:15:00+00:00
KAVA,744593312.7351481,0.0395,43686162.65483761,4.264488621311195,2022-04-16 02:15:00+00:00
ASTR,742500083.1358283,0.0,48471746.89217087,0.24042819071992047,2022-04-16 02:15:00+00:00
QTUM,741233398.3402146,0.0393,137080331.13101006,7.1187146598882105,2022-04-16 02:15:00+00:00
ICX,724113791.9483632,0.0384,9953778.98299667,0.7875226799692717,2022-04-16 02:16:00+00:00
LUSD,719836177.5487968,0.0,1166917.93055626,1.0005421987075462,2022-04-16 02:15:00+00:00
IOTX,716530622.03931,0.038,18563016.78690861,0.07510189657292901,2022-04-16 02:15:00+00:00
BORA,714522885.0276787,0.0379,26516131.41074014,0.8296346995967242,2022-04-16 02:15:00+00:00
YFI,699895470.1879123,0.0371,59271177.73561577,19103.13869885344,2022-04-16 02:15:00+00:00
NXM,677396634.901075,0.0,5732.84293618,102.52442715149965,2022-04-16 02:15:00+00:00
SKL,674669015.1195483,0.0358,30449540.91309561,0.19425541915387515,2022-04-16 02:15:00+00:00
OMG,674002501.8027111,0.0357,171238143.36984673,4.805879624118807,2022-04-16 02:15:00+00:00
XDC,668209760.437944,0.0355,3629035.14811364,0.05430386597697895,2022-04-16 02:15:00+00:00
XYM,657604163.8286773,0.0349,3202480.09343697,0.11779827590196892,2022-04-16 02:15:00+00:00
GNO,650311081.8462511,0.0345,6554579.38348889,348.6872210677117,2022-04-16 02:15:00+00:00
SNX,633654574.1786814,0.0336,111338527.46992366,5.517642942928879,2022-04-16 02:15:00+00:00
1INCH,632686032.9781314,0.0336,42776941.03141692,1.5246532670216224,2022-04-16 02:15:00+00:00
PAXG,628558970.9118655,0.0333,14847098.02054742,1978.7225992207968,2022-04-16 02:15:00+00:00
ANKR,625909879.9796511,0.0332,24839001.68526107,0.07667739745543456,2022-04-16 02:15:00+00:00
BTG,625595305.2543616,0.0332,12388610.22129611,35.71988321607617,2022-04-16 02:16:00+00:00
ZRX,622744667.5445275,0.033,48517550.97904519,0.7348053881967064,2022-04-16 02:15:00+00:00
SXP,604150695.7244757,0.0321,37978087.9737155,1.2588109911287206,2022-04-16 02:15:00+00:00
CBG,600180547.7969764,0.0,6169903.81904642,18.187289327181105,2022-04-16 02:15:00+00:00
BNT,595656421.6870599,0.0316,33713156.55416336,2.2938425782238587,2022-04-16 02:15:00+00:00
CCXX,587056043.5151436,0.0,619930.40163432,32.82134274240055,2022-04-16 02:15:00+00:00
RVN,583230864.1317691,0.0309,15581201.15975643,0.05568745486201271,2022-04-16 02:15:00+00:00
JST,565666074.4691274,0.03,136598081.56438127,0.07748399229758918,2022-04-16 02:15:00+00:00
RACA,565411409.7400649,0.0,21888652.75111818,0.0018902197567644097,2022-04-16 02:15:00+00:00
IOST,553398244.2789671,0.0294,54337503.8666565,0.029770607127710964,2022-04-16 02:15:00+00:00
WAXP,550066162.0419337,0.0292,22384811.59454617,0.2798392285686039,2022-04-16 02:15:00+00:00
CEL,543948883.2411808,0.0289,3857248.79877271,2.277237158848785,2022-04-16 02:15:00+00:00
SC,539449614.6063966,0.0286,10361826.95647003,0.010642149152860724,2022-04-16 02:15:00+00:00
GT,514655515.26184857,0.0273,7994968.00741943,6.5708790970848785,2022-04-16 02:15:00+00:00
WVLX,497606205.7117024,0.0,0.0,0.2183272706859211,2022-04-16 02:15:00+00:00
VLX,497171579.1209963,0.0264,6697694.89012388,0.21730871499896742,2022-04-16 02:15:00+00:00
LPT,496975508.5620125,0.0264,8748959.57454175,23.48138917236065,2022-04-16 02:15:00+00:00
RNDR,494623784.321252,0.0262,8574548.11065,2.0379484881561942,2022-04-16 02:15:00+00:00
RENBTC,491533207.04894155,0.0261,9881435.23598976,40490.41743677694,2022-04-16 02:15:00+00:00
WOO,486655994.7383594,0.0258,27254059.28893616,0.4779244028641007,2022-04-16 02:15:00+00:00
WEMIX,480592209.2046575,0.0,22728611.94284985,3.899844587315963,2022-04-16 02:15:00+00:00
ZEN,477255368.1995669,0.0253,18185118.52399198,38.86108129484455,2022-04-16 02:15:00+00:00
FXS,468807688.9997671,0.0249,17238004.8480989,28.921955971064357,2022-04-16 02:15:00+00:00
ONT,457552212.1186744,0.0243,32006537.83755591,0.522767736025269,2022-04-16 02:15:00+00:00
TTT,456944267.33934623,0.0,345817.79134715,4.358927224625993,2022-04-16 02:15:00+00:00
CHSB,455475067.0766472,0.0242,511609.86293843,0.4554750670766472,2022-04-16 02:15:00+00:00
RLY,455183958.16281474,0.0241,2680761.57853863,0.1678973340692733,2022-04-16 02:15:00+00:00
ELON,442819573.747072,0.0235,7602695.02140814,8.019068950682839e-07,2022-04-16 02:15:00+00:00
BRG,440292967.0696403,0.0234,1263929.48733041,0.05502171546659656,2022-04-16 02:15:00+00:00
GLM,432479560.14941144,0.0229,6724140.05027447,0.4324795601494114,2022-04-16 02:15:00+00:00
UMA,422424679.3146349,0.0224,36046124.86368503,6.413732600876671,2022-04-16 02:15:00+00:00
IMX,422107361.74585986,0.0224,43082650.85217542,1.7940334232324613,2022-04-16 02:15:00+00:00
FEI,421842872.3437857,0.0224,14354084.42024832,0.9925803910483965,2022-04-16 02:15:00+00:00
STORJ,421309583.6261269,0.0224,26895623.88294544,1.082929017902822,2022-04-16 02:15:00+00:00
SUSHI,419823347.6417176,0.0223,88915950.20163041,3.2993452424615324,2022-04-16 02:15:00+00:00
VGX,414537414.21015555,0.022,6706760.58004089,1.4885597467051963,2022-04-16 02:15:00+00:00
KOK,412257766.4254046,0.0,7577556.7765864,3.840907676859123,2022-04-16 02:15:00+00:00
XWC,403251181.7521716,0.0,3903975.37073386,0.5418577062239942,2022-04-16 02:15:00+00:00
HUSD,400556731.9977173,0.0,14778342.06684947,0.9994674403628826,2022-04-16 02:15:00+00:00
DESO,389884568.8367004,0.0,4839596.37460931,43.88350374591317,2022-04-16 02:15:00+00:00
DGB,384285426.1351045,0.0204,20678729.75086486,0.025188524519556985,2022-04-16 02:15:00+00:00
KEEP,379999485.595202,0.0202,2035775.79254406,0.5787595427807984,2022-04-16 02:15:00+00:00
HIVE,377842133.90868276,0.02,6513091.06285904,0.9326170935466098,2022-04-16 02:15:00+00:00
TEL,371597305.08764654,0.0197,2945255.15642585,0.006263905326191932,2022-04-16 02:15:00+00:00
POLY,368831704.33103937,0.0196,8709799.51699712,0.41047394554907457,2022-04-16 02:15:00+00:00
CEEK,362932802.3163378,0.0193,17073130.06788185,0.4870425874461023,2022-04-16 02:15:00+00:00
SPELL,360504672.21240366,0.0191,37976877.73229809,0.004173248454668876,2022-04-16 02:15:00+00:00
XDB,359643886.9430645,0.0191,3515744.67625365,0.3786638829541645,2022-04-16 02:15:00+00:00
CELR,352133697.5925422,0.0187,27144996.70029861,0.05148609654392668,2022-04-16 02:15:00+00:00
ILV,347847337.5961509,0.0184,16556498.62069641,534.4417232115628,2022-04-16 02:15:00+00:00
CSPR,347539776.71120006,0.0184,4979281.75056463,0.07687950513063,2022-04-16 02:15:00+00:00
RPL,343637815.8747875,0.0,4748928.79428287,33.42864075417127,2022-04-16 02:15:00+00:00
ARRR,338386151.1377707,0.0,379453.98521574,1.7665359194371062,2022-04-16 02:15:00+00:00
BTRST,337549348.8022544,0.0179,3143251.59450207,3.7884957030458137,2022-04-16 02:15:00+00:00
REN,332772934.50543916,0.0177,28327839.95643878,0.3330935369141767,2022-04-16 02:15:00+00:00
SYS,332475284.12461734,0.0176,5077925.64843374,0.5215383178474672,2022-04-16 02:15:00+00:00
VVS,332141932.1073987,0.0,2680937.85608677,2.3027709166158815e-05,2022-04-16 02:15:00+00:00
CKB,328362491.15820926,0.0174,3720654.16565147,0.010765013294379852,2022-04-16 02:15:00+00:00
SAPP,328027863.5185685,0.0,1064917.31076882,0.6102016192527857,2022-04-16 02:16:00+00:00
SRM,327561867.47749317,0.0174,100785669.79872146,2.458586570102918,2022-04-16 02:16:00+00:00
SAFEMOON,323582333.2525405,0.0,25063.67078786,5.526255102487287e-07,2022-04-16 02:15:00+00:00
TWT,314555085.3120083,0.0167,13290113.97799429,1.0918479903506577,2022-04-16 02:15:00+00:00
CFX,312419303.2671738,0.0166,38289472.09751324,0.18481939766006608,2022-04-16 02:15:00+00:00
LDO,311212314.4520109,0.0,4982099.8068861,2.9993221679844075,2022-04-16 02:15:00+00:00
DYDX,308138223.5712512,0.0163,54115883.52268114,4.699428651341321,2022-04-16 02:15:00+00:00
OCEAN,305880066.7159913,0.0162,12353857.64661459,0.4989080007813649,2022-04-16 02:15:00+00:00
PERP,299095178.7607401,0.0159,17108585.14319783,4.016048053182143,2022-04-16 02:15:00+00:00
UOS,293014245.4678672,0.0155,3504250.61117579,1.0362937014401927,2022-04-16 02:15:00+00:00
MOB,292376285.8452822,0.0,829162.29715432,3.9394083575005308,2022-04-16 02:15:00+00:00
ENS,290395638.8998573,0.0154,19269482.88829226,14.34416483555311,2022-04-16 02:15:00+00:00
PYR,289883109.56888914,0.0154,38440808.72725651,12.130167738689881,2022-04-16 02:15:00+00:00
C98,287559306.8281507,0.0153,26798623.59710139,1.5543746315035174,2022-04-16 02:15:00+00:00
WIN,284837631.02686584,0.0151,106317540.83099818,0.00029616989070390206,2022-04-16 02:15:00+00:00
MXC,284568680.64674,0.0151,17975915.24113872,0.1077041724157172,2022-04-16 02:15:00+00:00
DENT,283489325.51451737,0.015,40371263.34509528,0.002863303201401828,2022-04-16 02:15:00+00:00
BEST,277302942.0023976,0.0,43337.68555516,0.7852950032815031,2022-04-16 02:15:00+00:00
EVER,277081556.8779076,0.0,3563850.76484624,0.22562127871498427,2022-04-16 02:15:00+00:00
LSK,276130581.0416185,0.0146,3935232.25684642,2.142200378482971,2022-04-16 02:15:00+00:00
XPRT,273139101.28605735,0.0145,907471.01888195,2.807266378234369,2022-04-16 02:15:00+00:00
NU,271921982.2798993,0.0144,2752683.40958703,0.38680225075376856,2022-04-16 02:15:00+00:00
MPL,271310695.93351614,0.0,5291303.97982435,61.410498188475266,2022-04-16 02:15:00+00:00
HUM,269591915.90606374,0.0,12121689.35801837,0.3587815588634768,2022-04-16 02:15:00+00:00
PEOPLE,269343825.4155531,0.0143,61098404.36152788,0.05322856033343642,2022-04-16 02:15:00+00:00
RAY,269199497.8732183,0.0143,15885689.79348372,2.72842578726534,2022-04-16 02:15:00+00:00
TRIBE,265926194.10350975,0.0141,22457123.17687054,0.5864527560600014,2022-04-16 02:15:00+00:00
COTI,263783270.67898157,0.014,31307043.76391486,0.25166761537631394,2022-04-16 02:15:00+00:00
INJ,258629591.8158228,0.0137,9607175.34965848,5.315693392926541,2022-04-16 02:15:00+00:00
JOE,255179989.7654383,0.0135,6854001.97203894,1.1774735511547438,2022-04-16 02:15:00+00:00
BSW,253645348.43757787,0.0,53943665.25371179,1.1503711646071813,2022-04-16 02:15:00+00:00
AURORA,250291179.37939903,0.0,5795444.99282825,10.784439396182778,2022-04-16 02:15:00+00:00
YGG,249976734.54481596,0.0133,12967609.76608115,2.2182615550802964,2022-04-16 02:15:00+00:00
FET,249873871.59558645,0.0133,23851914.76347256,0.334900535881725,2022-04-16 02:15:00+00:00
METIS,249376349.89804423,0.0,11290773.88952783,84.50344785210395,2022-04-16 02:15:00+00:00
POWR,248345479.125591,0.0132,28236345.56304857,0.5115398372554885,2022-04-16 02:15:00+00:00
MED,246352259.7131489,0.0131,426268.92454888,0.04576995532390752,2022-04-16 02:15:00+00:00
CHR,243362668.89300632,0.0129,26463407.61042177,0.4289315782005071,2022-04-16 02:15:00+00:00
1ECO,240576556.69863972,0.0,1528490.02160681,9.098617586325107,2022-04-16 02:15:00+00:00
MVL,239185244.50410724,0.0,1866717.25680945,0.010493700359328919,2022-04-16 02:15:00+00:00
SNT,238817487.14122805,0.0127,31908068.65454992,0.06881388928166002,2022-04-16 02:15:00+00:00
FRTS,233946801.5116013,0.0,2084789.55985519,0.011104975397991025,2022-04-16 02:15:00+00:00
WRX,233530263.93136948,0.0124,5562462.24839081,0.6115649232436822,2022-04-16 02:15:00+00:00
XCH,232913815.7865338,0.0124,10675047.70457481,63.196539288885425,2022-04-16 02:15:00+00:00
XYO,232126073.48025998,0.0123,3609487.36973142,0.018071568975126965,2022-04-16 02:15:00+00:00
MOVR,226332407.05831167,0.012,19441676.87635156,57.669641054271175,2022-04-16 02:15:00+00:00
PUNDIX,223904069.08825263,0.0119,26684528.76020766,0.8661946339448803,2022-04-16 02:15:00+00:00
MBOX,223375014.82795894,0.0119,94040254.06812677,2.7973251165611495,2022-04-16 02:15:00+00:00
mVIXY,223195856.29860654,0.0,0.0,101.25786618932459,2022-04-16 02:15:00+00:00
ORBS,222618667.27155194,0.0118,2519735.79899169,0.07738501736916775,2022-04-16 02:15:00+00:00
REQ,221541123.26414323,0.0118,4521581.8285458,0.22156859599485876,2022-04-16 02:16:00+00:00
ANY,217932881.32492626,0.0,65617.65869117,11.69210458318392,2022-04-16 02:15:00+00:00
ARDR,216497330.51601422,0.0115,5242831.21920087,0.21671415411077283,2022-04-16 02:15:00+00:00
FX,213453500.813731,0.0113,2314133.87538111,0.5225039515319209,2022-04-16 02:15:00+00:00
RSR,209728222.7074565,0.0111,51214745.8232955,0.014169725881939989,2022-04-16 02:15:00+00:00
TRAC,209328527.81011572,0.0111,1243548.98982357,0.5745458789955943,2022-04-16 02:15:00+00:00
BNX,209120033.74458495,0.0,22931217.44349847,103.3764817684797,2022-04-16 02:15:00+00:00
XAUT,208222430.13076404,0.0,725060.0360539,1972.7543850047787,2022-04-16 02:15:00+00:00
UFO,207073965.47661704,0.0,4989665.66455188,8.039342189092271e-06,2022-04-16 02:15:00+00:00
ORC,206529417.09971178,0.0,933704.39154031,0.33825725099986076,2022-04-16 02:15:00+00:00
TLOS,205606531.84203714,0.0,6470369.6915241,0.7611576726400298,2022-04-16 02:15:00+00:00
DAG,204310885.49444342,0.0108,746419.25708571,0.1612668414339325,2022-04-16 02:15:00+00:00
VTHO,202008187.05721518,0.0107,13755656.13690365,0.004427074043564519,2022-04-16 02:15:00+00:00
OGN,199198990.4311122,0.0106,79858498.51595102,0.5126453789481079,2022-04-16 02:15:00+00:00
ALICE,197121747.77401018,0.0105,67023468.57730151,6.4418871821571955,2022-04-16 02:15:00+00:00
EPS,196587282.02837768,0.0104,79192659.21528828,0.2716413639112053,2022-04-16 02:15:00+00:00
CVC,196023391.57924008,0.0104,23159081.07862529,0.29257222623767176,2022-04-16 02:15:00+00:00
MDX,195999780.63104913,0.0104,4116177.35723923,0.22351123858245636,2022-04-16 02:15:00+00:00
DAO,193094538.8018768,0.0102,6634313.1640387,2.762241568384736,2022-04-16 02:15:00+00:00
DAR,192848586.6872028,0.0102,41640381.14513289,1.0392415286911567,2022-04-16 02:15:00+00:00
GUSD,191431166.73295316,0.0102,2073103.86446316,1.001394623968506,2022-04-16 02:15:00+00:00
CTSI,189464516.21745318,0.0101,9513128.67665864,0.3614655282009065,2022-04-16 02:15:00+00:00
LYXe,189102333.86357614,0.0,576396.13959054,12.436102993352387,2022-04-16 02:15:00+00:00
STMX,188189422.39865723,0.01,16767972.03833833,0.018818942239865723,2022-04-16 02:15:00+00:00
RGT,187903157.8838593,0.01,522040.082255,15.19218379598495,2022-04-16 02:15:00+00:00
BTCST,185228168.47781482,0.0098,1824981.87247734,16.22557894441466,2022-04-16 02:15:00+00:00
